state,state_name,page_type,tier,name,population,latitude,longitude,url_slug,include_reason
CA,California,city,Core,Lancaster,161103,34.69804,-118.13674,/{segment}/ca/lancaster/,pop>=50k
CA,California,city,Core,Palmdale,158351,34.57943,-118.11646,/{segment}/ca/palmdale/,pop>=50k
CA,California,city,Core,Hayward,158289,37.66882,-122.0808,/{segment}/ca/hayward/,pop>=50k
CA,California,city,Core,Salinas,157380,36.67774,-121.6555,/{segment}/ca/salinas/,pop>=50k
CA,California,city,Core,Sunnyvale,155805,37.36883,-122.03635,/{segment}/ca/sunnyvale/,pop>=50k
CA,California,city,Core,Pomona,153266,34.05529,-117.75228,/{segment}/ca/pomona/,pop>=50k
CA,California,city,Core,Escondido,151038,33.11921,-117.08642,/{segment}/ca/escondido/,pop>=50k
CA,California,city,Core,Valencia,148456,34.44361,-118.60953,/{segment}/ca/valencia/,pop>=50k
CA,California,city,Core,Torrance,143592,33.83585,-118.34063,/{segment}/ca/torrance/,pop>=50k
CA,California,city,Core,Pasadena,142250,34.14778,-118.14452,/{segment}/ca/pasadena/,pop>=50k
CA,California,city,Core,Orange,140992,33.78779,-117.85311,/{segment}/ca/orange/,pop>=50k
CA,California,city,Core,Fullerton,140847,33.87029,-117.92534,/{segment}/ca/fullerton/,pop>=50k
CA,California,city,Core,Van Nuys,136443,34.18667,-118.44897,/{segment}/ca/van-nuys/,pop>=50k
CA,California,city,Core,Roseville,130269,38.75212,-121.28801,/{segment}/ca/roseville/,pop>=50k
CA,California,city,Core,Visalia,130104,36.33023,-119.29206,/{segment}/ca/visalia/,pop>=50k
CA,California,city,Core,Thousand Oaks,129339,34.17056,-118.83759,/{segment}/ca/thousand-oaks/,pop>=50k
CA,California,city,Core,Concord,128667,37.97798,-122.03107,/{segment}/ca/concord/,pop>=50k
CA,California,city,Core,Simi Valley,126788,34.26945,-118.78148,/{segment}/ca/simi-valley/,pop>=50k
CA,California,city,Core,East Los Angeles,126496,34.0239,-118.17202,/{segment}/ca/east-los-angeles/,pop>=50k
CA,California,city,Core,Santa Clara,126215,37.35411,-121.95524,/{segment}/ca/santa-clara/,pop>=50k
CA,California,city,Core,Koreatown,124281,34.05779,-118.30091,/{segment}/ca/koreatown/,pop>=50k
CA,California,city,Core,Victorville,122225,34.53611,-117.29116,/{segment}/ca/victorville/,pop>=50k
CA,California,city,Core,Vallejo,121692,38.10409,-122.25664,/{segment}/ca/vallejo/,pop>=50k
CA,California,city,Core,Chico,121345,39.72849,-121.83748,/{segment}/ca/chico/,pop>=50k
CA,California,city,Core,Berkeley,120972,37.87159,-122.27275,/{segment}/ca/berkeley/,pop>=50k
CA,California,city,Core,El Monte,116732,34.06862,-118.02757,/{segment}/ca/el-monte/,pop>=50k
CA,California,city,Core,Carlsbad,114746,33.15809,-117.35059,/{segment}/ca/carlsbad/,pop>=50k
CA,California,city,Core,Downey,114219,33.94001,-118.13257,/{segment}/ca/downey/,pop>=50k
CA,California,city,Core,Costa Mesa,113204,33.64113,-117.91867,/{segment}/ca/costa-mesa/,pop>=50k
CA,California,city,Core,Fairfield,112970,38.24936,-122.03997,/{segment}/ca/fairfield/,pop>=50k
CA,California,city,Core,Inglewood,111666,33.96168,-118.35313,/{segment}/ca/inglewood/,pop>=50k
CA,California,city,Core,Antioch,110542,38.00492,-121.80579,/{segment}/ca/antioch/,pop>=50k
CA,California,city,Core,Temecula,110003,33.49364,-117.14836,/{segment}/ca/temecula/,pop>=50k
CA,California,city,Core,Murrieta,109830,33.55391,-117.21392,/{segment}/ca/murrieta/,pop>=50k
CA,California,city,Core,Richmond,109708,37.93576,-122.34775,/{segment}/ca/richmond/,pop>=50k
CA,California,city,Core,West Covina,108484,34.06862,-117.93895,/{segment}/ca/west-covina/,pop>=50k
CA,California,city,Core,Norwalk,107140,33.90224,-118.08173,/{segment}/ca/norwalk/,pop>=50k
CA,California,city,Core,Daly City,106562,37.70577,-122.46192,/{segment}/ca/daly-city/,pop>=50k
CA,California,city,Core,Burbank,105319,34.18084,-118.30897,/{segment}/ca/burbank/,pop>=50k
CA,California,city,Core,Santa Maria,105093,34.95303,-120.43572,/{segment}/ca/santa-maria/,pop>=50k
CA,California,city,Core,Universal City,105000,34.1389,-118.35341,/{segment}/ca/universal-city/,pop>=50k
CA,California,city,Core,Clovis,104180,36.82523,-119.70292,/{segment}/ca/clovis/,pop>=50k
CA,California,city,Core,El Cajon,103679,32.79477,-116.96253,/{segment}/ca/el-cajon/,pop>=50k
CA,California,city,Core,San Mateo,103536,37.56299,-122.32553,/{segment}/ca/san-mateo/,pop>=50k
CA,California,city,Core,Rialto,103132,34.1064,-117.37032,/{segment}/ca/rialto/,pop>=50k
CA,California,city,Core,Vista,100890,33.20004,-117.24254,/{segment}/ca/vista/,pop>=50k
CA,California,city,Core,Chinatown,100574,37.7966,-122.40858,/{segment}/ca/chinatown/,pop>=50k
CA,California,city,Core,Compton,98462,33.89585,-118.22007,/{segment}/ca/compton/,pop>=50k
CA,California,city,Core,Mission Viejo,97156,33.60002,-117.672,/{segment}/ca/mission-viejo/,pop>=50k
CA,California,city,Core,Vacaville,96803,38.35658,-121.98774,/{segment}/ca/vacaville/,pop>=50k
CA,California,city,Core,Ventura,96769,34.27834,-119.29317,/{segment}/ca/ventura/,pop>=50k
CA,California,city,Core,South Gate,96401,33.95474,-118.21202,/{segment}/ca/south-gate/,pop>=50k
CA,California,city,Core,Hesperia,93295,34.42639,-117.30088,/{segment}/ca/hesperia/,pop>=50k
CA,California,city,Core,Carson,93281,33.83141,-118.28202,/{segment}/ca/carson/,pop>=50k
CA,California,city,Core,Santa Monica,93220,34.01949,-118.49138,/{segment}/ca/santa-monica/,pop>=50k
CA,California,city,Core,San Marcos,92931,33.14337,-117.16614,/{segment}/ca/san-marcos/,pop>=50k
CA,California,city,Core,Boyle Heights,92785,34.0339,-118.20535,/{segment}/ca/boyle-heights/,pop>=50k
CA,California,city,Core,Arden-Arcade,92186,38.6025,-121.37854,/{segment}/ca/arden-arcade/,pop>=50k
CA,California,city,Core,Westminster,92114,33.75918,-118.00673,/{segment}/ca/westminster/,pop>=50k
CA,California,city,Core,Santa Barbara,91842,34.42083,-119.69819,/{segment}/ca/santa-barbara/,pop>=50k
CA,California,city,Core,Redding,91582,40.58654,-122.39168,/{segment}/ca/redding/,pop>=50k
CA,California,city,Core,San Leandro,90712,37.72493,-122.15608,/{segment}/ca/san-leandro/,pop>=50k
CA,California,city,Core,Hawthorne,88451,33.9164,-118.35257,/{segment}/ca/hawthorne/,pop>=50k
CA,California,city,Core,Livermore,88126,37.68187,-121.76801,/{segment}/ca/livermore/,pop>=50k
CA,California,city,Core,Indio,87533,33.7207,-116.21677,/{segment}/ca/indio/,pop>=50k
CA,California,city,Core,Whittier,87438,33.97918,-118.03284,/{segment}/ca/whittier/,pop>=50k
CA,California,city,Core,Menifee,87174,33.72835,-117.14642,/{segment}/ca/menifee/,pop>=50k
CA,California,city,Core,Newport Beach,87127,33.61891,-117.92895,/{segment}/ca/newport-beach/,pop>=50k
CA,California,city,Core,Tracy,87075,37.73987,-121.42618,/{segment}/ca/tracy/,pop>=50k
CA,California,city,Core,Citrus Heights,87056,38.70712,-121.28106,/{segment}/ca/citrus-heights/,pop>=50k
CA,California,city,Core,Chino,85595,34.01223,-117.68894,/{segment}/ca/chino/,pop>=50k
CA,California,city,Core,Alhambra,85551,34.09529,-118.12701,/{segment}/ca/alhambra/,pop>=50k
CA,California,city,Core,Redwood City,85288,37.48522,-122.23635,/{segment}/ca/redwood-city/,pop>=50k
CA,California,city,Core,Hemet,83861,33.74761,-116.97307,/{segment}/ca/hemet/,pop>=50k
CA,California,city,Core,San Pedro,83556,33.73585,-118.29229,/{segment}/ca/san-pedro/,pop>=50k
CA,California,city,Core,Buena Park,83270,33.86751,-117.99812,/{segment}/ca/buena-park/,pop>=50k
CA,California,city,Core,Mid-City,83000,34.04126,-118.36058,/{segment}/ca/mid-city/,pop>=50k
CA,California,city,Core,Lake Forest,82492,33.64697,-117.68922,/{segment}/ca/lake-forest/,pop>=50k
